user_id,name,email,phone,signup_date,platform,city,user_type
U00001,Aman Gupta,aman.gupta1@zaikanow.in,+918906402157,2023-06-09,android,bengaluru,new
U00002,Lakshmi Tiwari,lakshmi.tiwari2@zaikanow.in,+916999270936,2023-12-06,android,bengaluru,new
U00003,Sneha Mukherjee,sneha.mukherjee3@zaikanow.in,+916946785248,2024-10-13,android,bengaluru,returning
U00004,Yash Das,yash.das4@zaikanow.in,+918998485882,2023-09-06,web,mumbai,returning
U00005,Harsh Saxena,harsh.saxena5@zaikanow.in,+916398340369,2023-06-08,android,mumbai,returning
U00006,Akash Iyer,akash.iyer6@zaikanow.in,+919134174160,2023-03-09,android,mumbai,new
U00007,Neha Tiwari,neha.tiwari7@zaikanow.in,+919562265906,2024-03-31,web,bengaluru,new
U00008,Aman Thakur,aman.thakur8@zaikanow.in,+916196814233,2023-04-19,android,pune,new
U00009,Sakshi Khan,sakshi.khan9@zaikanow.in,+917632629719,2023-06-06,web,hyderabad,power
U00010,Myra Choudhary,myra.choudhary10@zaikanow.in,+918878380452,2023-11-22,android,delhi_ncr,casual
U00011,Myra Nair,myra.nair11@zaikanow.in,+917985392498,2023-09-11,ios,delhi_ncr,returning
U00012,Akash Kapoor,akash.kapoor12@zaikanow.in,+919620021413,2024-05-18,android,chennai,returning
U00013,Priya Reddy,priya.reddy13@zaikanow.in,+916284277889,2024-02-20,ios,bengaluru,casual
U00014,Mira Shetty,mira.shetty14@zaikanow.in,+919799685197,2024-09-06,android,pune,returning
U00015,Ritesh Choudhary,ritesh.choudhary15@zaikanow.in,+919208399878,2024-02-13,ios,bengaluru,returning
U00016,Nandini Trivedi,nandini.trivedi16@zaikanow.in,+918188398760,2023-08-03,android,pune,new
U00017,Riya Rao,riya.rao17@zaikanow.in,+919401954956,2023-09-06,web,hyderabad,new
U00018,Abhishek Trivedi,abhishek.trivedi18@zaikanow.in,+918272528809,2024-12-28,android,delhi_ncr,returning
U00019,Kiara Kamble,kiara.kamble19@zaikanow.in,+919301106403,2024-02-19,ios,pune,returning
U00020,Ritika Saxena,ritika.saxena20@zaikanow.in,+918150000991,2024-02-14,android,bengaluru,casual
U00021,Arvind Joshi,arvind.joshi21@zaikanow.in,+918615507143,2025-02-27,ios,delhi_ncr,returning
U00022,Aadhya Mehta,aadhya.mehta22@zaikanow.in,+918572447412,2023-01-01,ios,mumbai,power
U00023,Rahul Sethi,rahul.sethi23@zaikanow.in,+917028439863,2024-04-22,web,bengaluru,power
U00024,Vihaan Chopra,vihaan.chopra24@zaikanow.in,+919504793184,2025-01-24,web,pune,new
